Semester,Course Title,Crds
1,DS-GA-1001 Intro to Data Science,3
1,DS-GA 1002 Probability and Statistics for Data Science,3
1,General Elective or Track Course,3
2,DS-GA-1003 Machine Learning and Computational Statistics,3
2,DS-GA-1004 Big Data,3
2,General Elective or Track Course,3
3,Data Science Elective,3
3,DS-GA-1006 Capstone Project in Data Science,3
3,General Elective or Track Course,3
4,General Elective or Track Course,3
4,General Elective or Track Course,3
4,General Elective or Track Course,3
